,GO_ID,GO_Term,Count_Prot_Dataset (a),Count_Prot_SwissProt (b),c,d,Count_Prot_SwissProt_Actual,Percentage_Dataset,Percentage_SwissProt,Fold_Enrichment,P_Value_Two_Tail,P_Value_Greater
70,GO:0043395,heparan sulfate proteoglycan binding,11,94,71,551459,105,13.41,0.0190343252,704.76,9.569142946972856e-29,9.569142946972856e-29
239,GO:0047376,"all-trans-retinyl-palmitate hydrolase, all-trans-retinol forming activity",9,20,73,551533,29,10.98,0.0052570994,2087.77,2.2463967838429235e-28,2.2463967838429235e-28
139,GO:0055088,lipid homeostasis,15,904,67,550649,919,18.29,0.1665956656,109.8,1.694336624477919e-26,1.694336624477919e-26
64,GO:0043394,proteoglycan binding,11,159,71,551394,170,13.41,0.0308174789,435.29,2.351680735372805e-26,2.3516807353728048e-26
237,GO:0050253,retinyl-palmitate esterase activity,9,44,73,551509,53,10.98,0.0096078023,1142.36,9.9118717880177e-26,9.911871788017701e-26
41,GO:0042627,chylomicron,11,199,71,551354,210,13.41,0.0380686505,352.38,2.5503897591441764e-25,2.5503897591441764e-25
98,GO:0047714,galactolipase activity,7,10,75,551543,17,8.54,0.0030817479,2770.05,2.3945668276909383e-23,2.3945668276909386e-23
0,GO:0044238,primary metabolic process,82,290290,0,261263,290372,100.0,52.6384293962,1.9,2.406218726268568e-23,1.3947193829322565e-23
51,GO:0034361,very-low-density lipoprotein particle,11,317,71,551236,328,13.41,0.0594596064,225.61,3.739670520313942e-23,3.739670520313943e-23
82,GO:0034385,triglyceride-rich plasma lipoprotein particle,11,317,71,551236,328,13.41,0.0594596064,225.61,3.739670520313942e-23,3.739670520313943e-23
155,GO:0070328,triglyceride homeostasis,10,209,72,551344,219,12.2,0.0397001641,307.18,1.6477710076022525e-22,1.6477710076022522e-22
173,GO:0055090,acylglycerol homeostasis,10,228,72,551325,238,12.2,0.0431444705,282.66,3.842149235046586e-22,3.842149235046586e-22
188,GO:0055096,low-density lipoprotein particle mediated signaling,6,5,76,551548,11,7.32,0.0019940722,3669.41,4.1313095243317145e-21,4.1313095243317145e-21
192,GO:0055095,lipoprotein particle mediated signaling,6,5,76,551548,11,7.32,0.0019940722,3669.41,4.1313095243317145e-21,4.1313095243317145e-21
94,GO:0030667,secretory granule membrane,11,565,71,550988,576,13.41,0.1044168699,128.47,1.914456222245563e-20,1.9144562222455633e-20
91,GO:0009395,phospholipid catabolic process,10,348,72,551205,358,12.2,0.0648979851,187.91,2.3966210455276935e-20,2.3966210455276938e-20
13,GO:0003824,catalytic activity,81,310270,1,241283,310351,98.78,56.2602082899,1.76,2.9620827487836817e-19,2.11756532870043e-19
95,GO:0019376,galactolipid catabolic process,6,15,76,551538,21,7.32,0.003806865,1922.07,4.84668361580098e-19,4.846683615800979e-19
100,GO:0042589,zymogen granule membrane,7,61,75,551492,68,8.54,0.0123269916,692.51,1.186423083547024e-18,1.1864230835470244e-18
163,GO:0010886,positive regulation of cholesterol storage,6,22,76,551531,28,7.32,0.0050758201,1441.55,3.36213833193551e-18,3.3621383319355096e-18
194,GO:1904179,positive regulation of adipose tissue development,6,27,76,551526,33,7.32,0.0059822165,1223.14,9.878427150311332e-18,9.87842715031133e-18
159,GO:1905954,positive regulation of lipid localization,9,422,73,551131,431,10.98,0.0781313731,140.48,2.7800637590129613e-17,2.7800637590129613e-17
96,GO:0005509,calcium ion binding,16,4943,66,546610,4959,19.51,0.8989639889,21.71,4.24074508363184e-17,4.24074508363184e-17
14,GO:0031640,killing of cells of another organism,14,3170,68,548383,3184,17.07,0.5771932528,29.58,6.754554960403067e-17,6.754554960403067e-17
3,GO:0141061,disruption of cell in another organism,14,3170,68,548383,3184,17.07,0.5771932528,29.58,6.754554960403067e-17,6.754554960403067e-17
193,GO:1904177,regulation of adipose tissue development,6,43,76,551510,49,7.32,0.0088826851,823.75,1.2448656778542122e-16,1.2448656778542117e-16
71,GO:0032501,multicellular organismal process,24,18157,58,533396,18181,29.27,3.2958387339,8.88,1.3501425383394808e-16,1.3501425383394808e-16
20,GO:0001906,cell killing,14,3344,68,548209,3358,17.07,0.6087358489,28.05,1.3964337997987692e-16,1.3964337997987692e-16
11,GO:0008152,metabolic process,82,352677,0,198876,352759,100.0,63.9479003326,1.56,1.4770847108909036e-16,1.1920144436949903e-16
88,GO:0047372,monoacylglycerol lipase activity,7,127,75,551426,134,8.54,0.0242914246,351.42,1.5937528581391118e-16,1.5937528581391126e-16
177,GO:0010890,positive regulation of sequestering of triglyceride,6,49,76,551504,55,7.32,0.0099703608,733.88,2.578887596054899e-16,2.5788875960548984e-16
19,GO:0141060,disruption of anatomical structure in another organism,14,3577,68,547976,3591,17.07,0.650973923,26.23,3.483224403383668e-16,3.4832244033836686e-16
111,GO:0019374,galactolipid metabolic process,6,53,76,551500,59,7.32,0.010695478,684.13,4.0063672589795286e-16,4.0063672589795296e-16
164,GO:0010885,regulation of cholesterol storage,6,61,76,551492,67,7.32,0.0121457123,602.44,8.865136599248494e-16,8.865136599248493e-16
179,GO:0010889,regulation of sequestering of triglyceride,6,69,76,551484,75,7.32,0.0135959466,538.18,1.7870452871641888e-15,1.787045287164189e-15
190,GO:1905952,regulation of lipid localization,9,755,73,550798,764,10.98,0.138497376,79.25,4.79010533377878e-15,4.790105333778781e-15
36,GO:0006631,fatty acid metabolic process,17,8142,65,543411,8159,20.73,1.4790577103,14.02,4.9716726900149474e-15,4.971672690014945e-15
181,GO:0010884,positive regulation of lipid storage,6,102,76,551451,108,7.32,0.0195781631,373.74,1.691654465918787e-14,1.6916544659187867e-14
107,GO:0019377,glycolipid catabolic process,6,105,76,551448,111,7.32,0.020122001,363.64,2.0009678161333584e-14,2.0009678161333584e-14
9,GO:0044419,biological process involved in interspecies interaction between organisms,22,18680,60,532873,18702,26.83,3.390285243,7.91,3.2339846797098816e-14,3.2339846797098816e-14
259,GO:2000343,positive regulation of chemokine (C-X-C motif) ligand 2 production,5,36,77,551517,41,6.1,0.0074324508,820.4,4.783581652483326e-14,4.7835816524833266e-14
379,GO:0043170,macromolecule metabolic process,1,188840,81,362713,188841,1.22,34.2329620129,0.04,7.509316398837298e-14,0.9999999999999988
143,GO:0048878,chemical homeostasis,15,6641,67,544912,6656,18.29,1.2065949405,15.16,7.681198689701325e-14,7.681198689701325e-14
142,GO:0006633,fatty acid biosynthetic process,14,5467,68,546086,5481,17.07,0.9935917772,17.18,1.0516252064265106e-13,1.0516252064265107e-13
225,GO:0030301,cholesterol transport,7,338,75,551215,345,8.54,0.0625413543,136.5,1.2855989706431675e-13,1.2855989706431677e-13
268,GO:0010744,positive regulation of macrophage derived foam cell differentiation,5,45,77,551508,50,6.1,0.0090639644,672.73,1.3510386430358075e-13,1.3510386430358077e-13
255,GO:2000341,regulation of chemokine (C-X-C motif) ligand 2 production,5,56,77,551497,61,6.1,0.0110580366,551.41,3.788654700193995e-13,3.788654700193995e-13
128,GO:0034638,phosphatidylcholine catabolic process,5,61,77,551492,66,6.1,0.011964433,509.64,5.688084055625789e-13,5.68808405562579e-13
222,GO:0015918,sterol transport,7,430,75,551123,437,8.54,0.0792190488,107.76,6.739342449344716e-13,6.739342449344715e-13
196,GO:0007584,response to nutrient,8,859,74,550694,867,9.76,0.1571691426,62.07,1.1597376563530203e-12,1.1597376563530205e-12
161,GO:0045600,positive regulation of fat cell differentiation,6,212,76,551341,218,7.32,0.0395188848,185.15,1.2136658440151365e-12,1.2136658440151365e-12
103,GO:0046466,membrane lipid catabolic process,6,212,76,551341,218,7.32,0.0395188848,185.15,1.2136658440151365e-12,1.2136658440151365e-12
166,GO:0032722,positive regulation of chemokine production,6,216,76,551337,222,7.32,0.0402440019,181.82,1.35462930258156e-12,1.35462930258156e-12
135,GO:0046475,glycerophospholipid catabolic process,6,219,76,551334,225,7.32,0.0407878398,179.39,1.4690672717426859e-12,1.4690672717426865e-12
282,GO:0010743,regulation of macrophage derived foam cell differentiation,5,77,77,551476,82,6.1,0.0148649016,410.2,1.7334000959435613e-12,1.7334000959435617e-12
187,GO:0010883,regulation of lipid storage,6,234,76,551319,240,7.32,0.0435070291,168.18,2.1691194810358304e-12,2.1691194810358295e-12
49,GO:0009743,response to carbohydrate,8,1019,74,550534,1027,9.76,0.1861738287,52.4,4.432819034702681e-12,4.432819034702679e-12
145,GO:0042592,homeostatic process,15,9173,67,542380,9188,18.29,1.6655940975,10.98,7.260771489844012e-12,7.260771489844011e-12
157,GO:0032642,regulation of chemokine production,6,291,76,551262,297,7.32,0.0538399485,135.9,7.832750798947285e-12,7.832750798947285e-12
73,GO:0009749,response to glucose,7,642,75,550911,649,8.54,0.1176502579,72.56,1.0638552826032075e-11,1.0638552826032075e-11
81,GO:0009746,response to hexose,7,764,75,550789,771,8.54,0.139766331,61.08,3.519535681579425e-11,3.519535681579426e-11
56,GO:0034284,response to monosaccharide,7,796,75,550757,803,8.54,0.1455672682,58.64,4.6658901729550736e-11,4.665890172955075e-11
261,GO:0071398,cellular response to fatty acid,5,154,77,551399,159,6.1,0.0288234068,211.55,5.0039056067380227e-11,5.003905606738023e-11
151,GO:0045598,regulation of fat cell differentiation,6,445,76,551108,451,7.32,0.0817569589,89.5,9.596350335467292e-11,9.596350335467292e-11
130,GO:0046470,phosphatidylcholine metabolic process,6,450,76,551103,456,7.32,0.0826633553,88.52,1.0250362555351203e-10,1.0250362555351202e-10
201,GO:0015850,organic hydroxy compound transport,7,906,75,550647,913,8.54,0.1655079899,51.58,1.1347869161708849e-10,1.1347869161708849e-10
287,GO:0004622,lysophospholipase activity,5,184,77,551369,189,6.1,0.0342617854,177.97,1.195445297227063e-10,1.195445297227063e-10
138,GO:0072330,monocarboxylic acid biosynthetic process,14,9541,68,542012,9555,17.07,1.7321235962,9.86,1.5804360123001086e-10,1.5804360123001086e-10
277,GO:0070542,response to fatty acid,6,510,76,551043,516,7.32,0.0935401126,78.22,2.145093209645059e-10,2.1450932096450584e-10
110,GO:0030659,cytoplasmic vesicle membrane,11,4939,71,546614,4950,13.41,0.8973324753,14.95,2.345872981711895e-10,2.345872981711895e-10
283,GO:0032731,positive regulation of interleukin-1 beta production,5,215,77,551338,220,6.1,0.0398814433,152.89,2.564808569709895e-10,2.564808569709895e-10
215,GO:0010983,positive regulation of high-density lipoprotein particle clearance,3,6,79,551547,9,3.66,0.0016315136,2242.42,2.6572668723920184e-10,2.657266872392018e-10
292,GO:0034374,low-density lipoprotein particle remodeling,4,59,78,551494,63,4.88,0.0114205951,427.13,2.6823603137578855e-10,2.682360313757886e-10
93,GO:0012506,vesicle membrane,11,5087,71,546466,5098,13.41,0.9241618099,14.52,3.1883865646238575e-10,3.1883865646238575e-10
195,GO:0043691,reverse cholesterol transport,4,69,78,551484,73,4.88,0.013233388,368.62,4.895807555421154e-10,4.895807555421154e-10
273,GO:0032732,positive regulation of interleukin-1 production,5,249,77,551304,254,6.1,0.0460449391,132.43,5.273144689811136e-10,5.273144689811136e-10
74,GO:1901700,response to oxygen-containing compound,13,8764,69,542789,8777,15.85,1.5910883102,9.96,6.660020292448043e-10,6.660020292448042e-10
72,GO:0043933,protein-containing complex organization,18,19974,64,531579,19992,21.95,3.6241355244,6.06,7.290552091249141e-10,7.290552091249141e-10
205,GO:0031667,response to nutrient levels,10,4291,72,547262,4301,12.2,0.7796822174,15.64,1.05557321194767e-09,1.05557321194767e-09
256,GO:0031670,cellular response to nutrient,5,311,77,551242,316,6.1,0.057284255,106.44,1.5725217494488128e-09,1.5725217494488132e-09
104,GO:0006644,phospholipid metabolic process,15,13632,67,537921,13647,18.29,2.4739184424,7.39,1.6452253310518933e-09,1.6452253310518933e-09
16,GO:0110165,cellular anatomical entity,81,412812,1,138741,412893,98.78,74.8489490333,1.32,1.992792380332556e-09,1.3743524130640556e-09
266,GO:0032760,positive regulation of tumor necrosis factor production,5,331,77,551222,336,6.1,0.0609098407,100.11,2.136355255963959e-09,2.136355255963959e-09
210,GO:0010986,positive regulation of lipoprotein particle clearance,3,14,79,551539,17,3.66,0.0030817479,1187.16,2.149273206173426e-09,2.149273206173426e-09
278,GO:0032651,regulation of interleukin-1 beta production,5,334,77,551219,339,6.1,0.0614536786,99.22,2.233261175618903e-09,2.233261175618903e-09
276,GO:0032755,positive regulation of interleukin-6 production,5,335,77,551218,340,6.1,0.0616349579,98.93,2.2663299349187975e-09,2.2663299349187988e-09
275,GO:1903557,positive regulation of tumor necrosis factor superfamily cytokine production,5,342,77,551211,347,6.1,0.0629039129,96.93,2.50889473374306e-09,2.5088947337430595e-09
123,GO:0002080,acrosomal membrane,4,111,78,551442,115,4.88,0.0208471181,233.99,3.0949161904568404e-09,3.0949161904568404e-09
4,GO:0009987,cellular process,82,432898,0,118655,432980,100.0,78.4903060901,1.27,3.170079218317405e-09,2.3669946514660603e-09
223,GO:0009986,cell surface,9,3587,73,547966,3596,10.98,0.6518803194,16.84,4.022028830464228e-09,4.022028830464228e-09
271,GO:0032652,regulation of interleukin-1 production,5,401,77,551152,406,6.1,0.0735993909,82.85,5.486810663768789e-09,5.486810663768789e-09
207,GO:0010982,regulation of high-density lipoprotein particle clearance,3,20,79,551533,23,3.66,0.0041694236,877.47,5.593986355607189e-09,5.593986355607188e-09
115,GO:0006650,glycerophospholipid metabolic process,9,3747,73,547806,3756,10.98,0.6808850055,16.12,5.841108128935409e-09,5.841108128935409e-09
286,GO:0034364,high-density lipoprotein particle,5,408,77,551145,413,6.1,0.0748683459,81.44,5.974056375706393e-09,5.974056375706394e-09
243,GO:0033993,response to lipid,9,4126,73,547427,4135,10.98,0.7495898556,14.64,1.3273683392462122e-08,1.3273683392462123e-08
272,GO:0050729,positive regulation of inflammatory response,5,506,77,551047,511,6.1,0.0926337161,65.82,1.7207056936724063e-08,1.7207056936724066e-08
269,GO:0032675,regulation of interleukin-6 production,5,513,77,551040,518,6.1,0.0939026712,64.93,1.8408275054308292e-08,1.8408275054308295e-08
236,GO:0030299,intestinal cholesterol absorption,3,32,79,551521,35,3.66,0.0063447751,576.62,2.0646801412401925e-08,2.0646801412401925e-08
265,GO:0032680,regulation of tumor necrosis factor production,5,541,77,551012,546,6.1,0.0989784912,61.6,2.3897180047003195e-08,2.3897180047003195e-08
267,GO:1903555,regulation of tumor necrosis factor superfamily cytokine production,5,554,77,550999,559,6.1,0.101335122,60.17,2.685173456420739e-08,2.685173456420739e-08
242,GO:0052689,carboxylic ester hydrolase activity,10,6110,72,545443,6120,12.2,1.1094292422,10.99,2.9014582308807825e-08,2.9014582308807825e-08
61,GO:0042221,response to chemical,16,19623,66,531930,19639,19.51,3.5601439358,5.48,2.9476306214458697e-08,2.9476306214458697e-08
241,GO:0098856,intestinal lipid absorption,3,42,79,551511,45,3.66,0.008157568,448.48,4.471560673664388e-08,4.471560673664388e-08
124,GO:0044258,intestinal lipid catabolic process,2,1,80,551552,3,2.44,0.0005438379,4484.84,6.547496813901584e-08,6.547496813901583e-08
46,GO:0032787,monocarboxylic acid metabolic process,17,23790,65,527763,23807,20.73,4.3157160079,4.8,6.834308358867055e-08,6.834308358867055e-08
230,GO:0050746,regulation of lipoprotein metabolic process,3,53,79,551500,56,3.66,0.0101516401,360.39,8.724829572829568e-08,8.724829572829568e-08
186,GO:0001819,positive regulation of cytokine production,6,1717,76,549836,1723,7.32,0.3123442131,23.43,2.6320933273494163e-07,2.6320933273494153e-07
122,GO:0008610,lipid biosynthetic process,16,23961,66,527592,23977,19.51,4.3465334868,4.49,4.3517912704019777e-07,4.351791270401978e-07
65,GO:0044877,protein-containing complex binding,12,12829,70,538724,12841,14.63,2.3278073364,6.29,4.601346786065542e-07,4.6013467860655427e-07
226,GO:0006869,lipid transport,7,3115,75,548438,3122,8.54,0.5659539369,15.08,4.849286033390524e-07,4.849286033390524e-07
168,GO:0051240,positive regulation of multicellular organismal process,9,6599,73,544954,6608,10.98,1.1978935347,9.16,6.73878763136327e-07,6.738787631363272e-07
231,GO:0055091,phospholipid homeostasis,3,111,79,551442,114,3.66,0.0206658388,177.03,7.521585330373869e-07,7.521585330373868e-07
134,GO:0009617,response to bacterium,8,4904,74,546649,4912,9.76,0.8904438623,10.96,7.804170763160179e-07,7.804170763160178e-07
339,GO:0016740,transferase activity,1,107280,81,444273,107281,1.22,19.447823289,0.06,8.066935611154815e-07,0.9999999801525051
90,GO:0046434,organophosphate catabolic process,10,8837,72,542716,8847,12.2,1.6037778604,7.6,8.373157767518855e-07,8.373157767518854e-07
244,GO:0050892,intestinal absorption,3,122,79,551431,125,3.66,0.022659911,161.45,9.927321244387327e-07,9.927321244387327e-07
228,GO:0032376,positive regulation of cholesterol transport,3,147,79,551406,150,3.66,0.0271918932,134.55,1.7177864294487059e-06,1.7177864294487059e-06
22,GO:0005575,cellular_component,82,466248,0,85305,466330,100.0,84.5359703427,1.18,1.772274184852602e-06,1.0397480552014307e-06
214,GO:0032373,positive regulation of sterol transport,3,151,79,551402,154,3.66,0.0279170103,131.05,1.8590849074343586e-06,1.8590849074343582e-06
262,GO:0050727,regulation of inflammatory response,5,1352,77,550201,1357,6.1,0.2459959937,24.79,2.0852248645216532e-06,2.0852248645216537e-06
114,GO:0046473,phosphatidic acid metabolic process,3,158,79,551395,161,3.66,0.0291859654,125.35,2.124516999499097e-06,2.124516999499097e-06
204,GO:0010984,regulation of lipoprotein particle clearance,3,161,79,551392,164,3.66,0.0297298032,123.06,2.2455559149052835e-06,2.245555914905283e-06
175,GO:0001817,regulation of cytokine production,6,2633,76,548920,2639,7.32,0.4783960409,15.3,3.0595435805799573e-06,3.059543580579957e-06
18,GO:0008150,biological_process,82,471690,0,79863,471772,100.0,85.5224922277,1.17,4.732673903547958e-06,2.692439202452234e-06
24,GO:0004623,phospholipase A2 activity,4,741,78,550812,745,4.88,0.1350530695,36.12,5.3083869929562054e-06,5.308386992956206e-06
263,GO:0031349,positive regulation of defense response,5,1644,77,549909,1649,6.1,0.2989295458,20.4,5.348271800827227e-06,5.348271800827229e-06
361,GO:0019538,protein metabolic process,1,93912,81,457641,93913,1.22,17.0244817678,0.07,5.8948390126081726e-06,0.999999774388452
2,GO:0017171,serine hydrolase activity,7,4581,75,546972,4588,8.54,0.831709373,10.26,6.043781773948851e-06,6.043781773948854e-06
274,GO:0071396,cellular response to lipid,5,1752,77,549801,1757,6.1,0.3185077089,19.14,7.2559136466167815e-06,7.255913646616782e-06
296,GO:0007548,sex differentiation,3,242,79,551311,245,3.66,0.0444134255,82.37,7.467329926628249e-06,7.4673299266282486e-06
106,GO:0043005,neuron projection,7,4739,75,546814,4746,8.54,0.8603515005,9.92,7.518941321384744e-06,7.518941321384742e-06
165,GO:0032879,regulation of localization,9,8938,73,542615,8947,10.98,1.6219057892,6.77,7.804821587261797e-06,7.804821587261797e-06
290,GO:0008203,cholesterol metabolic process,4,845,78,550708,849,4.88,0.1539061155,31.69,8.85730654244629e-06,8.857306542446288e-06
154,GO:0045597,positive regulation of cell differentiation,6,3233,76,548320,3239,7.32,0.5871636136,12.46,9.755700852663059e-06,9.755700852663059e-06
209,GO:0032374,regulation of cholesterol transport,3,286,79,551267,289,3.66,0.0523897142,69.83,1.222153938661632e-05,1.222153938661632e-05
113,GO:0005576,extracellular region,15,27748,67,523805,27763,18.29,5.0328568709,3.63,1.345536438958462e-05,1.3455364389584616e-05
213,GO:0032371,regulation of sterol transport,3,299,79,551254,302,3.66,0.054746345,66.83,1.3932945935359878e-05,1.3932945935359878e-05
153,GO:0051239,regulation of multicellular organismal process,10,12397,72,539156,12407,12.2,2.2491321254,5.42,1.6131974304602507e-05,1.6131974304602507e-05
200,GO:0032370,positive regulation of lipid transport,3,326,79,551227,329,3.66,0.0596408857,61.34,1.797663810759921e-05,1.797663810759921e-05
245,GO:0022600,digestive system process,3,339,79,551214,342,3.66,0.0619975165,59.01,2.017182063274357e-05,2.0171820632743566e-05
101,GO:0120025,plasma membrane bounded cell projection,8,7738,74,543815,7746,9.76,1.4041893643,6.95,2.1330408581218718e-05,2.1330408581218715e-05
280,GO:0032103,positive regulation of response to external stimulus,5,2258,77,549295,2263,6.1,0.4102350286,14.86,2.4285215116794466e-05,2.428521511679447e-05
254,GO:0031669,cellular response to nutrient levels,5,2272,77,549281,2277,6.1,0.4127729386,14.77,2.5005864872242398e-05,2.50058648722424e-05
206,GO:0005769,early endosome,4,1273,78,550280,1277,4.88,0.2314936507,21.07,4.330230930852493e-05,4.330230930852493e-05
240,GO:0043434,response to peptide hormone,4,1293,78,550260,1297,4.88,0.2351192365,20.75,4.59790989661803e-05,4.597909896618032e-05
291,GO:1902652,secondary alcohol metabolic process,4,1311,78,550242,1315,4.88,0.2383822636,20.46,4.84898203022354e-05,4.84898203022354e-05
354,GO:0030169,low-density lipoprotein particle binding,2,70,80,551483,72,2.44,0.0130521087,186.87,5.5413887184222794e-05,5.5413887184222794e-05
105,GO:0042995,cell projection,8,8915,74,542638,8923,9.76,1.6175550862,6.03,5.750813812531503e-05,5.750813812531505e-05
384,GO:0009059,macromolecule biosynthetic process,1,81677,81,469876,81678,1.22,14.80652968,0.08,6.057265558676248e-05,0.9999980372593722
127,GO:0006968,cellular defense response,2,78,80,551475,80,2.44,0.014502343,168.18,6.845563263731395e-05,6.845563263731395e-05
289,GO:0016125,sterol metabolic process,4,1452,78,550101,1456,4.88,0.2639426432,18.48,7.176118602637504e-05,7.176118602637506e-05
372,GO:0034382,chylomicron remnant clearance,2,84,80,551469,86,2.44,0.0155900188,156.45,7.913302363618088e-05,7.913302363618088e-05
351,GO:0071830,triglyceride-rich lipoprotein particle clearance,2,87,80,551466,89,2.44,0.0161338566,151.17,8.475926944626512e-05,8.475926944626512e-05
108,GO:0006664,glycolipid metabolic process,6,4785,76,546768,4791,7.32,0.8685090685,8.42,8.525627491924759e-05,8.525627491924759e-05
171,GO:0042803,protein homodimerization activity,6,4820,76,546733,4826,7.32,0.8748538436,8.36,8.869865054351787e-05,8.869865054351787e-05
